id,Company Name,Date,Text
51,ADTRAN INC,19 December 1996,ADTRAN Appoints New Vice President of Telco Sales
52,ADTRAN INC,31 January 1997,ADTRAN Offers New Application Modules for T1 Networking
53,ADTRAN INC,31 January 1997,"ADTRAN Launches The ESP Line of T1, DDS and Frame Relay Networking Products Supporting Interchangeable Application Cards and Embedded SNMP"
54,ADTRAN INC,31 January 1997,"ADTRAN Unveils Frame Relay Products at ComNet; FSU 5622 ESP Features Voice and Data Support, Disaster Recovery Options and Embedded SNMP..."
55,ADTRAN INC,4 February 1997,"ADTRAN, Inc. and Compatible Systems Corporation enter technology licensing agreement"
56,ADTRAN INC,4 February 1997,"ADTRAN, Inc. and Compatible Systems Corporation Enter Into Technology Licensing Agreement"
57,ADTRAN INC,4 February 1997,"REPEAT/ADTRAN, Inc. and Compatible Systems Corporation enter technology licensing agreement"
58,ADTRAN INC,5 February 1997,ADTRAN Introduces New T1 DSU/CSU; Internet Service Providers Find Price Plus Performance Attractive
59,ADTRAN INC,10 March 1997,ADTRAN Announces ISDN Product Enhancements
60,ADTRAN INC,25 March 1997,GTE selects ADTRAN as 1996 Supplier of the Year
61,ADTRAN INC,1 April 1997,ADTRAN announces preliminary earnings & approval of share repurchase
62,ADTRAN INC,3 April 1997,"ADTRAN, Inc. and Tech Data Corp. Announce Strategic Distribution Partnership"
63,ADTRAN INC,4 April 1997,Pacific Bell Chooses ADTRAN Total Reach for Repeaterless ISDN Delivery; Two-Year Contract Awarded to Support Deployment
64,ADTRAN INC,4 April 1997,Pacific Bell to Increase ADTRAN HDSL System Installations
65,ADTRAN INC,15 April 1997,"Adtran, Inc. reports first quarter 1997 results"
66,ADTRAN INC,30 April 1997,Siemens Semiconductor Partners with ADTRAN to Develop DSL Products; Endorses ADTRAN DSL Technology as Industry Standard
67,ADTRAN INC,1 May 1997,AudioCodes Voice Over Frame Relay - VoFR - Processors Used by ADTRAN in its First Frame Relay Access Devices; ADTRAN devices incorporate...
68,ADTRAN INC,2 May 1997,ADTRAN Introduces Basic Rate ISDN Extension for Customer Premises Applications
69,ADTRAN INC,2 May 1997,ADTRAN Announces ADVISION SNMP Network Management Software
70,ADTRAN INC,28 May 1997,"ADTRAN's Express XRT ISDN Terminal Adapter Cited as Best Investment For End-Users Seeking Speed, Ease of Use"
71,ADTRAN INC,2 June 1997,ADTRAN Displays High-Speed Digital Communications Products at SuperComm
72,ADTRAN INC,7 July 1997,"ADTRAN, Inc. Reports Second Quarter 1997 Results"
73,ADTRAN INC,15 July 1997,ADTRAN ISDN Modems Deliver Sights and Sounds of Intel NY Music Festival To A Global Audience
74,ADTRAN INC,17 July 1997,ADTRAN TSU 120 Receives Users' Choice Award From Communications News
75,ADTRAN INC,24 September 1997,ADTRAN Unveils ATLAS 800 Integrated Access System; Industry's Most Extensive Support of Dedicated Bandwidth Management and Access Switching...
76,ADTRAN INC,7 October 1997,ADTRAN Launches Intelligent 'IQ Series' DSU/CSUs To Enable Frame Relay Service Level Management
77,ADTRAN INC,14 October 1997,"ADTRAN, Inc. Reports Third Quarter 1997 Results"
78,ADTRAN INC,4 November 1997,"ADTRAN Announces 'e' Series T1 DSU/CSUs With Embedded SNMP; TSU Family Provides Modularity, Application Flexibility and Multiple Management..."
79,ADTRAN INC,8 December 1997,Advanced Fibre Communications Teams With ADTRAN to Deliver Cost-Effective HDSL
80,ADTRAN INC,6 January 1998,Provisional Agreement Reached for HDSL2 Standard
81,ADTRAN INC,13 January 1998,"ADTRAN, INC. REPORTS RECORD FOURTH QUARTER AND YEAR END 1997 RESULTS"
82,ADTRAN INC,13 January 1998,"ADTRAN, INC. REPORTS RECORD FOURTH QUARTER AND YEAR END -2-"
83,ADTRAN INC,27 January 1998,ADTRAN Enhances ATLAS 800 to Include Remote Access Capability
84,ADTRAN INC,27 January 1998,ADTRAN Rolls Out Suite of xDSL Remote Access Products
85,ADTRAN INC,27 January 1998,ADTRAN Announces New Channel Program To Strengthen VAR Partnerships; Flexible Sourcing Options And Incentives Provided Through New Program
86,ADTRAN INC,17 February 1998,ADTRAN Unveils HDSL Loop Support System System Provides High-Capacity Circuit Back-Up
87,ADTRAN INC,23 February 1998,"ADTRAN Ships Tracer for Wireless T1 Transmission; Ideal for PCS, International and Other Fast-Growing Wireless Markets, Tracer Delivers..."
88,ADTRAN INC,16 March 1998,"ADTRAN Announces Availability of Total Reach DDS, The Industry's First Two-Wire Repeaterless DDS Delivery System"
89,ADTRAN INC,30 March 1998,"ADTRAN Introduces End-to-End xDSL Solution, Frame Access Family Offers Carriers Powerful Solutions for Serving More Customers at Lower..."
90,ADTRAN INC,2 April 1998,Dialog Semiconductor Becomes Independent; Ownership Shared by Key Industrial Partners and Leading Venture Capital Group
91,ADTRAN INC,14 April 1998,"Adtran, Inc. Reports First Quarter 1998 Results"
92,ADTRAN INC,16 April 1998,ADTRAN Announces Disaster Recovery Solution for Frame Relay Networks
93,ADTRAN INC,20 April 1998,ADTRAN Offers T3 and Frame Relay Support for ATLAS Integrated Access System
94,ADTRAN INC,20 April 1998,ADTRAN Expands Integrated Access Solutions With New T1 Voice/Data/LAN Offerings
95,ADTRAN INC,5 May 1998,ADTRAN and DeskTalk Announce Partnership to Deliver Enhanced Frame Relay Performance Monitoring
96,ADTRAN INC,5 May 1998,"ADTRAN's T3SU 300 Sets New Price Standard for T3 Connectivity; ADTRAN introduces new modular, multiport T3 DSU/CSU"
97,ADTRAN INC,20 May 1998,Gov. Fob James Announces ADTRAN's $150 Million Expansion In Huntsville
98,ADTRAN INC,26 May 1998,ADTRAN's Total Access Redefines the Broadband Access Market
99,ADTRAN INC,3 June 1998,ADTRAN Inc. Licenses Expert Technology From Applied Digital Access; ADA's Sectionalizer Expert Systems Solution to Provide Advanced...
